TI	PRON.Masc.Sing	tu
somos	AUX.Fin.Plur	ser
o	DET.Masc.Sing	o
que	PRON.Rel.Masc.Plur	que
somos	AUX.Fin.Plur	ser
-	PUNCT.Hyphen	-
inclassificáveis	ADJ.Fem.Plur	inclassificável
”	PUNCT.Quot	”
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
compreende	VERB.Fin.Sing	compreender
uma	DET.Fem.Sing	um
mistura	NOUN.Fem.Sing	mistura
étnica	ADJ.Fem.Sing	étnico
,	PUNCT.Comma	,
cultural	ADJ.Fem.Sing	cultural
e	CCONJ	e
religiosa	ADJ.Fem.Sing	religioso
que	SCONJ	que
é	AUX.Fin.Sing	ser
materializada	VERB.Part.Fem.Sing	materializar
nos	ADP_DET.Masc.Plur	em_o
versos	NOUN.Masc.Plur	verso
do	ADP_DET.Masc.Sing	de_o
músico	NOUN.Masc.Sing	músico
.	PUNCT.Sent	.
Infelizmente	ADV	infelizmente
,	PUNCT.Comma	,
casos	NOUN.Masc.Plur	caso
de	ADP	de
intolerâncias	NOUN.Fem.Plur	intolerância
causam	VERB.Fin.Plur	causar
exclusão	NOUN.Fem.Sing	exclusão
e	CCONJ	e
mortes	NOUN.Fem.Plur	morte
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
superação	NOUN.Fem.Sing	superação
dessas	ADP_DET.Fem.Plur	de_esse
desigualdades	NOUN.Fem.Plur	desigualdade
acontece	VERB.Fin.Sing	acontecer
pelo	ADP_DET.Masc.Sing	por_o
conhecimento	NOUN.Masc.Sing	conhecimento
e	CCONJ	e
reconhecimento	NOUN.Masc.Sing	reconhecimento
do	ADP_DET.Masc.Sing	de_o
outro	NOUN.Masc.Sing	outro
.	PUNCT.Sent	.
Valores	NOUN.Masc.Plur	valor
como	ADP	como
a	DET.Fem.Sing	o
tolerância	NOUN.Fem.Sing	tolerância
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
ética	NOUN.Fem.Sing	ética
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
honestidade	NOUN.Fem.Sing	honestidade
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
respeito	NOUN.Masc.Sing	respeito
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
exercício	NOUN.Masc.Sing	exercício
crítico	ADJ.Masc.Sing	crítico
da	ADP_DET.Fem.Sing	de_o
cidadania	NOUN.Fem.Sing	cidadania
e	CCONJ	e
compreensão	NOUN.Fem.Sing	compreensão
das	ADP_DET.Fem.Plur	de_o
diferenças	NOUN.Fem.Plur	diferença
requerem	VERB.Fin.Plur	requerer
autonomia	NOUN.Fem.Sing	autonomia
intelectual	ADJ.Fem.Sing	intelectual
e	CCONJ	e
criticidade	NOUN.Fem.Sing	criticidade
em	ADP	em
relação	NOUN	relação
à	ADP_DET.Fem.Sing	a_o
cultura	NOUN.Fem.Sing	cultura
hegemônica	ADJ.Fem.Sing	hegemônico
.	PUNCT.Sent	.
